label,Type,messages
spam,Contact_Service_Scam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7"
spam,Taxpayer,This is Canada Revenue Agency. Your SIN has been flagged for tax fraud. Immediate payment of $854 required to avoid arrest. Pay now in Bitcoin to address provided.
spam,Prize_Lottery_Scam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
ham,,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,,Merry christmas to u too annie!
spam,Prize_Lottery_Scam,"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\"""""
ham,,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
spam,Subscription_Scam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
ham,,Oh yah... We never cancel leh... Haha
ham,,I donno if they are scorable
ham,,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
spam,Prize_Lottery_Scam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,,No. I.ll meet you in the library
spam,Free_Service_Scam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,,I dont know oh. Hopefully this month.
ham,,So how many days since then?
ham,,"When you just put in the + sign, choose my number and the pin will show. Right?"
spam,Contact_Service_Scam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,,I sent them. Do you like?
spam,Free_Service_Scam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
ham,,Hey... Very inconvenient for your sis a not huh?
ham,,Great. Have a safe trip. Dont panic surrender all.
ham,,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,,Ugh fuck it I'm resubbing to eve
ham,,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
ham,,"Dad wanted to talk about the apartment so I got a late start, omw now"
spam,Contact_Service_Scam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
spam,Free_Service_Scam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
ham,,Omg it could snow here tonite!
ham,,You best watch what you say cause I get drunk as a motherfucker
ham,,Get ready for  &lt;#&gt;  inches of pleasure...
ham,,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,Subscription_Scam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,,Also hi wesley how've you been
spam,Prize_Lottery_Scam,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
ham,,Most of the tiime when i don't let you hug me it's so i don't break into tears.
spam,Subscription_Scam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA
ham,,Thinkin about someone is all good. No drugs for that
ham,,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,,Thanks love. But am i doing torch or bold.
ham,,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
spam,Prize_Lottery_Scam,"449050000301 You have won a å£2,000 price! To claim, call 09050000301."
spam,Prize_Lottery_Scam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,,"Sir, I need AXIS BANK account no and bank address."
spam,Subscription_Scam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
ham,,Now thats going to ruin your thesis!
spam,Marketing_Link_Scam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
ham,,Yar else i'll thk of all sorts of funny things.
ham,,Pls she needs to dat slowly or she will vomit more.
spam,Contact_Service_Scam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
spam,Pyramid,"Join the Blessing Circle today! Gift $500, invite 2 friends, and receive up to $4000 within days. 100% legal, women-supporting-women network! DM “BLESSED” to start."
spam,Free_Service_Scam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
spam,Prize_Lottery_Scam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
spam,Prize_Lottery_Scam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,,Yeah that'd pretty much be the best case scenario
ham,,Aiyo please Ì_ got time meh.
spam,Prize_Lottery_Scam,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
ham,,yay! finally lol. i missed our cinema trip last week :-(
spam,Marketing_Link_Scam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,,K..k..i'm also fine:)when will you complete the course?
ham,,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
ham,,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
ham,,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
spam,Contact_Service_Scam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
ham,,You still around? Looking to pick up later
ham,,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
spam,Prize_Lottery_Scam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
spam,Prize_Lottery_Scam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
ham,,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
spam,Subscription_Scam,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP
ham,,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
spam,Free_Service_Scam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,,You are gorgeous! keep those pix cumming :) thank you!
spam,Prize_Lottery_Scam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
spam,Contact_Service_Scam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
ham,,I remain unconvinced that this isn't an elaborate test of my willpower
ham,,Can you please send me my aunty's number
spam,Subscription_Scam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,Free_Service_Scam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
ham,,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
ham,,Why de. You looking good only:-)..
spam,Prize_Lottery_Scam,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,,She's good. How are you. Where r u working now
ham,,No one interested. May be some business plan.
ham,,I was slept that time.you there?
spam,Free_Service_Scam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,,Yar... I tot u knew dis would happen long ago already.
ham,,Excellent! Are you ready to moan and scream in ecstasy?
spam,Free_Service_Scam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
spam,Marketing_Link_Scam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
ham,,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,,"No, I was trying it all weekend ;V"
ham,,Lol alright i was thinkin that too haha
spam,Free_Service_Scam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,,Later i guess. I needa do mcat study too.
ham,,Holy living christ what is taking you so long
ham,,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,Contact_Service_Scam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
ham,,Fuck cedar key and fuck her (come over anyway tho)
ham,,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
ham,,Sorry i'm not free...
spam,Free_Service_Scam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
spam,Adult_Content_Scam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,,I'll talk to the others and probably just come early tomorrow then
ham,,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
spam,Free_Service_Scam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam,Prize_Lottery_Scam,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
ham,,You will be in the place of that man
spam,Prize_Lottery_Scam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
spam,Subscription_Scam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
spam,Subscription_Scam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
spam,Prize_Lottery_Scam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,,"Jay told me already, will do"
spam,Marketing_Link_Scam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
ham,,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
spam,Free_Service_Scam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,,Don no da:)whats you plan?
ham,,I'm good. Have you registered to vote?
ham,,make that 3! 4 fucks sake?! x
ham,,Ok. I.ll do you right later.
spam,Prize_Lottery_Scam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,,"Sorry my roommates took forever, it ok if I come by now?"
ham,,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
spam,Prize_Lottery_Scam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
spam,Contact_Service_Scam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
spam,Prize_Lottery_Scam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
spam,Subscription_Scam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
spam,Personal information,"1. ""Service Canada: Your SIN has been suspended due to suspicious activity. Verify your SIN and DOB immediately to restore access. Press 1 to continue.""

2. ""Bank of Canada: Your account requires verification. Please confirm your full name, address, and account number to prevent suspension.""

3. ""CRA verification department: Tax refund processing requires confirmation. Please provide your SIN, DOB, and current address for identity verification.""

4. ""Hurricane Fiona relief fund: You qualify for $2,500 assistance. Verify your SIN and address, then purchase gift cards for processing fees.""

5. ""TD Bank security: Suspicious activity detected. Confirm your account number, PIN, and mother's maiden name to secure your account."""
ham,,S.this will increase the chance of winning.
ham,,I'll be at mu in like  &lt;#&gt;  seconds
ham,,Try neva mate!!
ham,,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
spam,Subscription_Scam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,,Hi.what you think about match?
ham,,Jus finish bathing...
spam,Free_Service_Scam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
spam,Marketing_Link_Scam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
spam,Subscription_Scam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,,Have you heard from this week?
spam,Subscription_Scam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
spam,Prize_Lottery_Scam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
ham,,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
spam,Prize_Lottery_Scam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
ham,,Hi dear we saw dear. We both are happy. Where you my battery is low
spam,Initial Coin Offerings,HOT ICO ALERT! Invest now in CryptoNova – the next Bitcoin. Limited pre-sale tokens available at 0.03 ETH. Project backed by real AI tech. Join early to 10x your return. https://cryptonova-invest.io
spam,Prize_Lottery_Scam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone
ham,,2 and half years i missed your friendship:-)
spam,Free_Service_Scam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,,Lol where do u come up with these ideas?
spam,Prize_Lottery_Scam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,,Wat's da model num of ur phone?
spam,Prize_Lottery_Scam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,,How is it possible to teach you. And where.
spam,Spear phishing,"Hello, We acknowledge receipt of your email and thank you. We would also like to inform you that as of February 1, 2023, the payment of your rent will have to be made by Interac transfer. To this end, we kindly ask you to make your transfer to our new Interac account whose email address is the following: fraudulent email address. Question: Blue Answer: Rules Thank you for sending us back the confirmation email of the transfer if possible. For any other request for information, do not hesitate to answer directly to this mail. Wishing you a good reception.

Hello, We just got off the phone with the bank and they confirmed that our bank account is currently on hold as a result of a bad check sent by another customer therefore no further payment can be deposited at this time, note that payment for sales orders will now be made by Wire transfer instead to our subsidiary company banking information. Please confirm receipt of this email so I could send you correct Wire transfer bank account information for your records?

I need you to make a purchase of 7 Visa gift cards at $200 face value each. Since we have it almost everywhere and can be used anywhere. You will get reimbursement alongside your surprise at the end of they day. I hope it will go a long way to appreciate and motivate everyone. How soon can you get this done?

Sorry to inform you that uncertain incident happen at our office today for that we would be closing early today. And also we wouldn't be opening for tomorrow Friday until Monday morning. A bogus cheque was deposited into our checking last week and I was just told by our accounting department that all payment should be paid via email money transfer. You send can your payment via e transfer today and you can drop off the rental document on Monday 29 when our office will be open"
ham,,4 oclock at mine. Just to bash out a flat plan.
spam,Prize_Lottery_Scam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
spam,Free_Service_Scam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
spam,Subscription_Scam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,,Oh yeah clearly it's my fault
spam,Prize_Lottery_Scam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
spam,Other_Spam,ringtoneking 84484
spam,Subscription_Scam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
spam,Free_Service_Scam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,,I cant pick the phone right now. Pls send a message
ham,,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
spam,Prize_Lottery_Scam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
spam,Contact_Service_Scam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
ham,,"Sorry, I'll call later"
spam,Subscription_Scam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
spam,Prize_Lottery_Scam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
spam,Subscription_Scam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
spam,Prize_Lottery_Scam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
spam,Prize_Lottery_Scam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,Prize_Lottery_Scam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
spam,Prize_Lottery_Scam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
spam,Hostage,"1. ""This is Minister of National Defense. Your employees in overseas facility are being held hostage. Need $50,000 ransom immediately. Wire to secure account for their release.""

2. ""Minister of Finance here. Critical situation - your staff captured by terrorists. Require $75,000 emergency payment to negotiator. Lives depend on quick action.""

3. ""Minister of Public Safety urgent message. Your workers detained abroad. Need $100,000 ransom payment within 2 hours. Cannot involve local authorities yet."""
spam,Contact_Service_Scam,You have 1 new message. Please call 08712400200.
spam,Free_Service_Scam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,,Sorry. || mail? ||
ham,,Ya:)going for restaurant..
ham,,Well I might not come then...
spam,Prize_Lottery_Scam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
spam,Prize_Lottery_Scam,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
spam,Contact_Service_Scam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,,Wait  &lt;#&gt;  min..
spam,Prize_Lottery_Scam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
ham,,Unless it's a situation where YOU GO GURL would be more appropriate
ham,,U sure u can't take any sick time?
ham,,Tell them u have a headache and just want to use 1 hour of sick time.
ham,,U can call now...
spam,Contact_Service_Scam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
spam,Prize_Lottery_Scam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,,"I'm in a meeting, call me later at"
spam,Prize_Lottery_Scam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
spam,Free_Service_Scam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p
ham,,ÌÏ dun need to pick ur gf?
ham,,Lol they were mad at first but then they woke up and gave in.
spam,Free_Service_Scam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
spam,Free_Service_Scam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
spam,Free_Service_Scam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
ham,,Yup but it's not giving me problems now so mayb i'll jus leave it...
spam,Free_Service_Scam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,,I'm very happy for you babe ! Woo hoo party on dude!
ham,,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
ham,,What is this 'hex' place you talk of? Explain!
spam,Contact_Service_Scam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
spam,Free_Service_Scam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
spam,Subscription_Scam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
ham,,Que pases un buen tiempo or something like that
ham,,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
spam,Subscription_Scam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
ham,,I place all ur points on e cultures module already.
spam,Free_Service_Scam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop"
ham,,K then 2marrow are you coming to class.
spam,Prize_Lottery_Scam,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC
spam,Adult_Content_Scam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
ham,,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
spam,Free_Service_Scam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
spam,Prize_Lottery_Scam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
